Name,Department,School,Quality,Number of Ratings,Would Take Again,Difficulty
Chase McCoy,Informatics,Indiana University Bloomington,4.8,31,100%,1.9
Daniel Pierz,Informatics,Indiana University Bloomington,5.0,7,100%,3.1
Samantha Wood,Informatics,Indiana University Bloomington,4.0,3,67%,1.3
Dana Habeeb,Informatics,Indiana University Bloomington,1.0,12,0%,3.9
Nathan Ensmenger,Informatics,Indiana University Bloomington,4.0,13,67%,2.8
Katie Siek,Informatics,Indiana University Bloomington,3.2,10,63%,3.8
Saul Blanco,Informatics,Indiana University Bloomington,3.3,50,55%,3.3
Erik Wennstrom,Informatics,Indiana University Bloomington,4.2,30,72%,3.9
Younei Soe,Informatics,Indiana University Bloomington,5.0,4,100%,1.8
Logan Paul,Informatics,Indiana University Bloomington,2.4,34,42%,2.9
Tiana Iruoje,Informatics,Indiana University Bloomington,4.3,9,72%,1.7
Kayce Reed-Buechlein,Informatics,Indiana University Bloomington,4.0,4,75%,3.3
Maria Clor,Informatics,Indiana University Bloomington,5.0,2,100%,1
Justin Wood,Informatics,Indiana University Bloomington,4.3,3,100%,2.3
Erika Lee,Informatics,Indiana University Bloomington,4.4,15,87%,2.7
Phil Jordan,Informatics,Indiana University Bloomington,5.0,3,100%,2
Shunying Blevis,Informatics,Indiana University Bloomington,1.4,18,17%,2.9
Carol Chosky,Informatics,Indiana University Bloomington,4.0,1,100%,3
John Duncan,Informatics,Indiana University Bloomington,3.4,39,40%,3
Alexis Caudell,Informatics,Indiana University Bloomington,3.0,2,50%,3.5
Matt Hottell,Informatics,Indiana University Bloomington,1.0,1,0%,4
Kate Muehlhaus,Informatics,Indiana University Bloomington,5.0,1,100%,3
Selma Sabanovic,Informatics,Indiana University Bloomington,4.9,7,100%,2.7
Rod Stark,Informatics,Indiana University Bloomington,3.6,14,65%,2.9
Jennifer Terrell,Informatics,Indiana University Bloomington,4.5,26,90%,2.1
Mark Krenz,Informatics,Indiana University Bloomington,5.0,1,100%,4
Travis Brown,Informatics,Indiana University Bloomington,4.3,6,100%,3
Jennifer Schepers,Informatics,Indiana University Bloomington,1.0,5,0%,3.4
Novia Nurain,Informatics,Indiana University Bloomington,1.0,2,0%,3
Jenny EI-Shamy,Informatics,Indiana University Bloomington,3.5,2,50%,1.5
Dalya Manatova,Informatics,Indiana University Bloomington,5.0,1,100%,3
Olga Scrivner,Informatics,Indiana University Bloomington,2.4,7,34%,3.1
Stephen Sher,Informatics,Indiana University Bloomington,5.0,5,100%,2
Nina Onesti,Informatics,Indiana University Bloomington,4.1,39,79%,1.7
Donald Williamson,Informatics,Indiana University Bloomington,3.0,3,67%,3.7
Kelsey,Informatics,Indiana University Bloomington,2.3,3,34%,1
Dan Richert,Informatics,Indiana University Bloomington,3.3,8,34%,2.9
David Wild,Informatics,Indiana University Bloomington,3.2,3,0%,1.7
Joanna Zai,Informatics,Indiana University Bloomington,4.5,9,89%,1.8
Bradford Demarest,Informatics,Indiana University Bloomington,5.0,1,100%,3
Tom Ongwere,Informatics,Indiana University Bloomington,4.7,3,100%,4
Kody Sexton,Informatics,Indiana University Bloomington,4.8,4,75%,1.8
Nick Leisure,Informatics,Indiana University Bloomington,5.0,1,100%,3
Sriraam Natarajan,Informatics,Indiana University Bloomington,4.8,6,100%,3.7
Kristen Knorr,Informatics,Indiana University Bloomington,5.0,5,100%,2.6
Gopinaath Kannabiran,Informatics,Indiana University Bloomington,2.0,1,0%,1
Allison Fish,Informatics,Indiana University Bloomington,1.5,2,0%,3
Kaitlyn Yoder,Informatics,Indiana University Bloomington,5.0,1,100%,1
Vanessa Minik,Informatics,Indiana University Bloomington,5.0,1,100%,2
Simon Dedeo,Informatics,Indiana University Bloomington,5.0,2,NA,3
Micah Nethery,Informatics,Indiana University Bloomington,5.0,2,NA,2
Emilio Ferrara,Informatics,Indiana University Bloomington,5.0,4,NA,2.5
Edword Amsden,Informatics,Indiana University Bloomington,4.5,1,NA,4
David Nemer,Informatics,Indiana University Bloomington,4.8,2,NA,1
