"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHERCNT","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"FA24","4248","1","Regular Academic Session","INFO","INFO-G","901","4456","ADVANCED RESEARCH","Guidi,Gabriele","1","20","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-H","101","3937","INTRO TO INFORMATICS, HONORS","Siek,Katie A.","15","15",""," 4.000"," 3.876","13.3","100.0","0.0","0.0","0.0","0","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","101","2111","INTRODUCTION TO INFORMATICS","McCoy,Chase","148","160",""," 3.499"," 3.224","34","69.6","21.6","4.7","0.7","17","48","32","23","12","15","5","1","3","3","1","0","0","5","2","10","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","101","4548","INTRODUCTION TO INFORMATICS","McCoy,Chase","198","216",""," 3.397"," 3.142","31.8","64.6","21.7","7.6","2.5","25","71","37","20","12","22","9","5","10","0","2","2","1","7","3","15","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","101","4613","INTRODUCTION TO INFORMATICS","McCoy,Chase","98","109",""," 3.627"," 3.339","29","78.6","13.3","3.1","3.1","13","48","21","8","5","6","2","2","1","0","1","2","0","2","2","9","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","101","4614","INTRODUCTION TO INFORMATICS","McCoy,Chase","142","161",""," 3.527"," 3.130","18.1","70.4","16.2","10.6","2.1","20","50","38","12","9","9","5","6","5","4","2","1","0","1","7","12","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","123","30615","DATA FLUENCY","Groth,Dennis Patrick","49","64",""," 3.461"," 3.143","5.5","63.3","28.6","6.1","0.0","16","6","16","9","7","1","6","0","3","0","0","0","0","1","3","9","3","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","123","9420","DATA FLUENCY","Wood,Samantha","56","61",""," 2.970"," 3.260","3.6","42.9","32.1","10.7","7.1","9","8","8","8","10","4","4","3","3","0","1","2","1","4","0","5","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","8W2","Eight Week - Second","INFO","INFO-I","130","3547","INTRODUCTION TO CYBERSECURITY","Ling,Cici","25","27",""," 3.388"," 3.059","44","52.0","40.0","4.0","4.0","2","4","6","3","3","6","1","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","8W1","Eight Week - First","INFO","INFO-I","130","7108","INTRODUCTION TO CYBERSECURITY","Ling,Cici","38","41",""," 3.524"," 2.903","97.4","78.9","5.3","10.5","5.3","3","16","12","2","0","0","2","0","0","4","1","1","0","0","0","3","0","0","0","0","0","0","0","0","01-24-2025"
